Row Labels,Sum of GRADS,
33669853330222,10,
33669853330974,7,
33669930000001,1,
33669930129882,27,
33669933330479,599,
33669933330842,51,
33670330110106,29,
33670330110627,905,
33670330110759,196,
33670333330131,58,
33670333330446,726,
33670333330586,280,
33670333330602,3,
33670333330701,834,
33670333331600,575,
33670333334232,478,
33670580114504,93,
33670580118885,443,
33670583330388,461,
33670583330669,543,
33670583330909,69,
33670583331113,107,
33670583333192,417,
33670820106716,75,
33670820113159,305,
33670820120675,26,
33670820128363,19,
33670820132167,6,
33670823330065,157,
33670823330503,72,
33670823330537,344,
33670823332673,508,
33670900000001,5,
33670900114157,507,
33670900127720,21,
33670903330412,344,
33670903334687,212,
33670903337136,304,
33671160109843,109,
33671240000001,6,
33671240105940,1,
33671240128868,55,
33671243330396,455,
33671243330438,545,
33671243330685,2,
33671243330800,62,
33671243331071,393,
33671243333762,95,
33671243333770,472,
33671570125245,10,
33671573331014,119,
33671730127316,407,
33671730133090,29,
33671733330578,270,
33671733330818,323,
33671733331121,136,
33671733335130,389,
33671813331139,76,
33671813335759,152,
33672070000001,1,
33672070101170,109,
33672070113191,569,
33672073330172,216,
33672073330727,591,
33672073335973,456,
33672150000001,4,
33672150115709,25,
33672150131359,42,
33672153330024,396,
33672153330362,99,
33672153330511,9,
33672153330677,42,
33672153330859,755,
33672153334406,446,
33672153336237,568,
33672153336492,465,
33672153336955,83,
33672490000001,1,
33672493331006,63,
33672493337649,92,
33672493337656,444,
33672496114748,52,
33736760100255,348,
33736760121673,32,
33736763330032,44,
33736763330354,57,
33736763330990,522,
33751760107920,431,
33751760116343,39,
33751763330115,109,
33751763330487,416,
33751763332350,459,
33751920105734,841,
33751923330370,546,
33751923330495,71,
33751923330636,97,
33751923330743,711,
33751923330917,80,
33752000100420,822,
33752000102079,100,
33752000118794,491,
33752003330529,522,
33752420109108,499,
33752420123190,11,
33752423330552,738,
33752423330560,205,
33769430132522,1,
34103480106229,8,
34103480106237,8,
34103480106245,39,
34103480106278,20,
34103480106302,5,
34103480118745,26,
34322760330027,16,
34322763931250,34,
34322763990025,45,
34322765637780,62,
34673140000001,12,
34673140105916,508,
34673140108753,526,
34673140116897,545,
34673143430170,333,
34673143430311,131,
34673143430329,89,
34673143430352,62,
34673143430477,271,
34673143430592,402,
34673143430618,485,
34673143430873,598,
34673143432002,55,
34673143432572,407,
34673146112254,95,
34673220127860,9,
34673300113571,365,
34673303430501,48,
34673303430709,42,
34673303431533,347,
34673303433216,514,
34673303434792,33,
34673550000001,3,
34673550119131,255,
34673553432903,4,
34673553433471,221,
34674133430469,3,
34674133430550,5,
34674134835302,92,
